[
StockUnit{open=138.0193, high=138.02, low=138.0, close=138.0102, adjustedClose=0.0, volume=779, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:15:00}, 
StockUnit{open=138.0, high=138.02, low=138.0, close=138.01, adjustedClose=0.0, volume=393, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:14:00}, 
StockUnit{open=138.01, high=138.02, low=138.01, close=138.02, adjustedClose=0.0, volume=882, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:13:00}, 
StockUnit{open=138.01, high=138.02, low=138.0, close=138.02, adjustedClose=0.0, volume=2296, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:12:00}, 
StockUnit{open=138.01, high=138.01, low=138.0, close=138.01, adjustedClose=0.0, volume=1246, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:11:00}, 
StockUnit{open=138.0, high=138.01, low=137.99, close=138.005, adjustedClose=0.0, volume=1355, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:10:00}, 
StockUnit{open=138.005, high=138.01, low=137.99, close=138.01, adjustedClose=0.0, volume=214, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:09:00}, 
StockUnit{open=138.01, high=138.02, low=138.0, close=138.0, adjustedClose=0.0, volume=1738, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:08:00}, 
StockUnit{open=138.0, high=138.02, low=137.99, close=138.01, adjustedClose=0.0, volume=2960, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:07:00}, 
StockUnit{open=138.02, high=138.02, low=138.0, close=138.02, adjustedClose=0.0, volume=3802, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:06:00}, 
StockUnit{open=138.01, high=138.02, low=138.0, close=138.0, adjustedClose=0.0, volume=3086, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:05:00}, 
StockUnit{open=138.005, high=138.01, low=138.0, close=138.01, adjustedClose=0.0, volume=1264, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:04:00}, 
StockUnit{open=137.99, high=138.01, low=137.99, close=138.01, adjustedClose=0.0, volume=8896, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:03:00}, 
StockUnit{open=138.0, high=138.0, low=137.99, close=137.99, adjustedClose=0.0, volume=1489, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:02:00}, 
StockUnit{open=137.995, high=138.0, low=137.99, close=137.99, adjustedClose=0.0, volume=551, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:01:00}, 
StockUnit{open=138.0, high=138.0, low=137.99, close=138.0, adjustedClose=0.0, volume=3204, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:00:00}, 
StockUnit{open=137.99, high=138.0, low=137.99, close=138.0, adjustedClose=0.0, volume=710, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:59:00}, 
StockUnit{open=137.995, high=138.0, low=137.99, close=137.99, adjustedClose=0.0, volume=401, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:58:00}, 
StockUnit{open=137.99, high=138.0, low=137.98, close=137.995, adjustedClose=0.0, volume=480, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:57:00}, 
StockUnit{open=137.99, high=138.0, low=137.98, close=137.99, adjustedClose=0.0, volume=858, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:56:00}, 
StockUnit{open=138.0, high=138.0, low=137.98, close=137.98, adjustedClose=0.0, volume=7248, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:55:00}, 
StockUnit{open=138.0, high=138.0, low=137.99, close=138.0, adjustedClose=0.0, volume=1684, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:54:00}, 
StockUnit{open=137.995, high=138.0, low=137.99, close=137.9999, adjustedClose=0.0, volume=757, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:53:00}, 
StockUnit{open=138.0, high=138.0, low=137.99, close=138.0, adjustedClose=0.0, volume=2299, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:52:00}, 
StockUnit{open=138.0, high=138.0, low=137.99, close=137.995, adjustedClose=0.0, volume=510, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:51:00}, 
StockUnit{open=137.99, high=138.0, low=137.99, close=137.995, adjustedClose=0.0, volume=239, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:50:00}, 
StockUnit{open=137.995, high=138.0, low=137.99, close=138.0, adjustedClose=0.0, volume=1686, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:49:00}, 
StockUnit{open=137.995, high=138.0, low=137.99, close=137.99, adjustedClose=0.0, volume=1401, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:48:00}, 
StockUnit{open=137.98, high=138.0, low=137.98, close=138.0, adjustedClose=0.0, volume=3338, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:47:00}, 
StockUnit{open=137.99, high=138.0, low=137.98, close=137.99, adjustedClose=0.0, volume=1741, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:46:00}, 
StockUnit{open=137.99, high=138.0, low=137.99, close=137.9998, adjustedClose=0.0, volume=4577, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:45:00}, 
