StockUnit{open=39,4000, high=39,4000, low=39,4000, close=39,4000, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:06:10.256, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4000, high=39,4000, low=39,4000, close=39,4000, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:06:10.256, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4000, high=39,4000, low=39,4000, close=39,4000, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:06:20.106, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4000, high=39,4000, low=39,4000, close=39,4000, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:06:20.106, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,3552, high=39,3552, low=39,3552, close=39,3552, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:06:30.280, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,3552, high=39,3552, low=39,3552, close=39,3552, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:06:30.280, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,3505, high=39,3505, low=39,3505, close=39,3505, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:06:40.154, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,3505, high=39,3505, low=39,3505, close=39,3505, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:06:40.154, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,3100, high=39,3100, low=39,3100, close=39,3100, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:06:49.776, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,3100, high=39,3100, low=39,3100, close=39,3100, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:06:49.776, symbol=IONQ, percentageChange=0,0, target=0},
