[
StockUnit{open=320.57, high=320.63, low=320.4, close=320.465, adjustedClose=0.0, volume=2411, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:46:00}, 
StockUnit{open=320.56, high=320.66, low=320.4, close=320.57, adjustedClose=0.0, volume=2856, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:45:00}, 
StockUnit{open=320.435, high=320.57, low=320.4, close=320.56, adjustedClose=0.0, volume=5327, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:44:00}, 
StockUnit{open=320.46, high=320.5, low=320.41, close=320.435, adjustedClose=0.0, volume=292, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:43:00}, 
StockUnit{open=320.43, high=320.45, low=320.4, close=320.44, adjustedClose=0.0, volume=1453, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:42:00}, 
StockUnit{open=320.44, high=320.45, low=320.4, close=320.425, adjustedClose=0.0, volume=434, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:41:00}, 
StockUnit{open=320.435, high=320.47, low=320.4, close=320.435, adjustedClose=0.0, volume=708, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:40:00}, 
StockUnit{open=320.4, high=320.47, low=320.4, close=320.41, adjustedClose=0.0, volume=7087, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:39:00}, 
StockUnit{open=320.46, high=320.47, low=320.4, close=320.435, adjustedClose=0.0, volume=557, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:38:00}, 
StockUnit{open=320.47, high=320.5, low=320.4, close=320.46, adjustedClose=0.0, volume=798, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:37:00}, 
StockUnit{open=320.44, high=320.47, low=320.43, close=320.46, adjustedClose=0.0, volume=441, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:36:00}, 
StockUnit{open=320.4, high=320.47, low=320.4, close=320.435, adjustedClose=0.0, volume=3759, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:35:00}, 
StockUnit{open=320.385, high=320.44, low=320.37, close=320.395, adjustedClose=0.0, volume=1311, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:34:00}, 
StockUnit{open=320.47, high=320.47, low=320.37, close=320.37, adjustedClose=0.0, volume=1453, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:33:00}, 
StockUnit{open=320.45, high=320.47, low=320.4, close=320.435, adjustedClose=0.0, volume=2777, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:32:00}, 
StockUnit{open=320.43, high=320.5, low=320.38, close=320.4699, adjustedClose=0.0, volume=922, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:31:00}, 
StockUnit{open=320.45, high=320.5, low=320.37, close=320.39, adjustedClose=0.0, volume=1587, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:30:00}, 
StockUnit{open=320.4, high=320.5, low=320.4, close=320.48, adjustedClose=0.0, volume=3727, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:29:00}, 
StockUnit{open=320.4, high=320.5, low=320.37, close=320.4, adjustedClose=0.0, volume=3172, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:28:00}, 
StockUnit{open=320.425, high=320.48, low=320.37, close=320.435, adjustedClose=0.0, volume=456, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:27:00}, 
StockUnit{open=320.425, high=320.49, low=320.35, close=320.48, adjustedClose=0.0, volume=871, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:26:00}, 
StockUnit{open=320.43, high=320.5, low=320.36, close=320.425, adjustedClose=0.0, volume=1583, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:25:00}, 
StockUnit{open=320.515, high=320.57, low=320.41, close=320.4998, adjustedClose=0.0, volume=1230, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:24:00}, 
StockUnit{open=320.53, high=320.58, low=320.52, close=320.54, adjustedClose=0.0, volume=694, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:23:00}, 
StockUnit{open=320.56, high=320.69, low=320.45, close=320.53, adjustedClose=0.0, volume=986, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:22:00}, 
StockUnit{open=320.56, high=320.68, low=320.45, close=320.67, adjustedClose=0.0, volume=1852, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:21:00}, 
StockUnit{open=320.5, high=320.69, low=320.36, close=320.67, adjustedClose=0.0, volume=1974, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:20:00}, 
StockUnit{open=320.57, high=320.58, low=320.455, close=320.455, adjustedClose=0.0, volume=1583, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:19:00}, 
